number,name,status
778,Supporting Symlinks in Wheels,Deferred
787,Safer subprocess usage using t-strings,Deferred
568,Generator-sensitivity for Context Variables,Deferred
499,,Deferred
491,The Wheel Binary Package Format 1.9,Deferred
447,Add __getdescriptor__ method to metaclass,Deferred
547,Running extension modules using the -m option,Deferred
444,Python Web3 Interface,Deferred
407,New release cycle and introducing long-term support versions,Deferred
403,General purpose decorator clause (aka “@in” clause),Deferred
400,Deprecate codecs.StreamReader and codecs.StreamWriter,Deferred
505,None-aware operators,Deferred
323,Copyable Iterators,Deferred
423,Naming conventions and recipes related to packaging,Deferred
316,Programming by Contract for Python,Deferred
419,Protecting cleanup statements from interruptions,Deferred
312,Simple Implicit Lambda,Deferred
269,Pgen Module for Python,Deferred
280,Optimizing access to globals,Deferred
267,Optimized Access to Module Namespaces,Deferred
368,Standard image protocol and class,Deferred
337,Logging Usage in the Standard Library,Deferred
222,Web Library Enhancements,Deferred
213,Attribute Access Handlers,Deferred
8001,Python Governance Voting Process,Final
3003,Python Language Moratorium,Final
286,Enhanced Argument Tuples,Deferred
3000,Python 3000,Final
3002,Procedure for Backwards-Incompatible Changes,Final
233,Python Online Help,Deferred
596,Python 3.9 Release Schedule,Final
219,Stackless Python,Deferred
569,Python 3.8 Release Schedule,Final
3100,Miscellaneous Python 3.0 Plans,Final
3099,Things that will Not Change in Python 3000,Final
541,Package Index Name Retention,Final
512,Migrating from hg.python.org to GitHub,Final
478,Python 3.5 Release Schedule,Final
449,Removal of the PyPI Mirror Auto Discovery and Naming Scheme,Final
464,Removal of the PyPI Mirror Authenticity API,Final
581,Using GitHub Issues for CPython,Final
438,Transitioning to release-file hosting on PyPI,Superseded
537,Python 3.7 Release Schedule,Final
404,Python 2.8 Un-release Schedule,Final
429,Python 3.4 Release Schedule,Final
385,Migrating from Subversion to Mercurial,Final
494,Python 3.6 Release Schedule,Final
470,Removing External Hosting Support on PyPI,Final
373,Python 2.7 Release Schedule,Final
374,Choosing a distributed VCS for the Python project,Final
361,Python 2.6 and 3.0 Release Schedule,Final
347,Migrating the Python CVS to Subversion,Final
320,Python 2.4 Release Schedule,Final
392,Python 3.2 Release Schedule,Final
398,Python 3.3 Release Schedule,Final
283,Python 2.3 Release Schedule,Final
375,Python 3.1 Release Schedule,Final
251,Python 2.2 Release Schedule,Final
226,Python 2.1 Release Schedule,Final
356,Python 2.5 Release Schedule,Final
360,Externally Maintained Packages,Final
6,Bug Fix Releases,Superseded
3156,Asynchronous IO Support Rebooted: the “asyncio” Module,Final
3155,Qualified name for classes and functions,Final
3149,ABI version tagged .so files,Final
3154,Pickle protocol version 4,Final
3151,Reworking the OS and IO exception hierarchy,Final
160,Python 1.6 Release Schedule,Final
3148,futures - execute computations asynchronously,Final
5,Guidelines for Language Evolution,Superseded
200,Python 2.0 Release Schedule,Final
3147,PYC Repository Directories,Final
3141,A Type Hierarchy for Numbers,Final
3144,IP Address Manipulation Library for the Python Standard Library,Final
3135,New Super,Final
3131,Supporting Non-ASCII Identifiers,Final
3123,Making PyObject_HEAD conform to standard C,Final
3127,Integer Literal Support and Syntax,Final
3121,Extension Module Initialization and Finalization,Final
3138,String representation in Python 3000,Final
3137,Immutable Bytes and Mutable Buffer,Final
3120,Using UTF-8 as the default source encoding,Final
3134,Exception Chaining and Embedded Tracebacks,Final
3119,Introducing Abstract Base Classes,Final
3118,Revising the buffer protocol,Final
3114,Renaming iterator.next() to iterator.__next__(),Final
3129,Class Decorators,Final
3132,Extended Iterable Unpacking,Final
3112,Bytes literals in Python 3000,Final
3111,Simple input built-in in Python 3000,Final
3108,Standard Library Reorganization,Final
3107,Function Annotations,Final
3116,New I/O,Final
3106,"Revamping dict.keys(), .values() and .items()",Final
3113,Removal of Tuple Parameter Unpacking,Final
3105,Make print a function,Final
3115,Metaclasses in Python 3000,Final
3104,Access to Names in Outer Scopes,Final
3110,Catching Exceptions in Python 3000,Final
3101,Advanced String Formatting,Final
815,Deprecate ,Final
3109,Raising Exceptions in Python 3000,Final
814,Add frozendict built-in type,Final
792,Project status markers in the simple index,Final
782,Add PyBytesWriter C API,Final
788,Protecting the C API from Interpreter Finalization,Final
3102,Keyword-Only Arguments,Final
768,Safe external debugger interface for CPython,Final
765,Disallow return/break/continue that exit a finally block,Final
831,Frame Pointers Everywhere: Enabling System-Level Observability for Python,Final
791,math.integer — submodule for integer-specific mathematics functions,Final
784,Adding Zstandard to the standard library,Final
779,Criteria for supported status for free-threaded Python,Final
750,Template Strings,Final
751,A file format to record Python dependencies for installation reproducibility,Final
758,Allow ,Final
740,Index support for digital attestations,Final
757,C API to import-export Python integers,Final
737,C API to format a type fully qualified name,Final
738,Adding Android as a supported platform,Final
735,Dependency Groups in pyproject.toml,Final
749,Implementing PEP 649,Final
747,Annotating Type Forms,Final
730,Adding iOS as a supported platform,Final
741,Python Configuration C API,Final
742,Narrowing types with TypeIs,Final
715,Disabling bdist_egg distribution uploads on PyPI,Final
723,Inline script metadata,Final
706,Filter for tarfile.extractall,Final
700,Additional Fields for the Simple API for Package Indexes,Final
734,Multiple Interpreters in the Stdlib,Final
697,Limited C API for Extending Opaque Types,Final
721,Using tarfile.data_filter for source distribution extraction,Final
695,Type Parameter Syntax,Final
709,Inlined comprehensions,Final
702,Marking deprecations using the type system,Final
705,TypedDict: Read-only items,Final
698,Override Decorator for Static Typing,Final
688,Making the buffer protocol accessible in Python,Final
686,Make UTF-8 mode default,Final
685,Comparison of extra names for optional distribution dependencies,Final
683,"Immortal Objects, Using a Fixed Refcount",Final
682,Format Specifier for Signed Zero,Final
692,Using TypedDict for more precise **kwargs typing,Final
680,tomllib: Support for Parsing TOML in the Standard Library,Final
681,Data Class Transforms,Final
675,Arbitrary Literal String Type,Final
669,Low Impact Monitoring for CPython,Final
689,Unstable C API tier,Final
673,Self Type,Final
667,Consistent views of namespaces,Final
